Company Name,Company Description,Company Area,Company URL,Company Address,Company Telephone,Company Email,Company House Number,Company House URL,Include?
Kings Estates,"Independent, Family Run Estate Agency in Tunbridge Wells",Real Estate,Kings Estates,"5 Mount Pleasant Road, Tunbridge Wells, Kent, TN1 1NT",01892533367,hello@kings-estates.co.uk,11436373,KINGS ESTATES LIMITED overview - Find and update company information,
Brighton & Hove museums,"Charity that runs the Pavillion, Preston Manor and three museums. ",Travel & Tourism,https://brightonmuseums.org.uk/,4-5 Pavilion Buildings Brighton BN1 1EE,0300 0290900,info@rpmt.org.uk,11774969,ROYAL PAVILION AND MUSEUMS TRUST overview - Find and update company information,
Brighton Pier Group,Owns and trades Brighton Palace Pier and seven indoor mini-golf sites,Travel & Tourism,https://www.brightonpiergroup.com/,"36 Drury Lane, London, WC2B 5RR",Not listed,coysec@brightonpiergroup.com,8687172,THE BRIGHTON PIER GROUP LIMITED overview - Find and update company information,
Brilliant Brighton,"Brilliant Brighton (also known as Brighton Business Improvement District or BID for short) is a not-for-profit organisation formed of 517 businesses including shops, salons, bars, cafes and restaurants within Brighton city centre, who contribute and come together to make Brilliant Brighton a fantastic place to work, live and visit.",Travel & Tourism,https://brilliantbrighton.com/about/,"Brighton BID Ltd
PO Box 5398
Brighton BN50 8QG",07772 488351,admin@brightonbid.com,N/A - levies collected by Brighton council,N/A,
Nightcap Ltd,Owns and runs Brighton i360,Travel & Tourism,https://www.nightcapgroup.com/about-us,"119 Wardour Street, London, England, W1F 0UW",,email@nightcapgroup.com,12899067,NIGHTCAP LIMITED overview - Find and update company information,
Drusilla's Park,Independent zoo,Travel & Tourism,https://www.drusillas.co.uk/,"Drusillas Zoo Park Ltd, Alfriston, East Sussex, BN26 5QS",,info@drusillas.co.uk,3261226,DRUSILLAS ZOO PARK LIMITED overview - Find and update company information,
Komedia Entertainment Ltd,Own independent cinemas and comedy club in Brighton,Travel & Tourism,https://www.komediaentertainment.com/,"Sixpence Accountancy Services Llp, The Offices, 57 Newtown Road, Brighton, East Sussex, United Kingdom, BN3 7BA",,info@komediaentertainment.com,04391940,KOMEDIA ENTERTAINMENT LIMITED overview - Find and update company information,
Brighton Dome and Festival Ltd,"An arts charity, three historic contemporary live arts venues, a music education service",Travel & Tourism,https://brightondome.org/our-mission-and-purpose/,"Church Street
Brighton BN1 1UE",,marketing@brightondome.org,00889184,BRIGHTON DOME AND FESTIVAL LTD overview - Find and update company information,
Aston Vaughan,Boutique Brighton agency known for premium marketing and strong brand positioning in central locations. Particularly effective at selling high-value and design-led properties.,Real Estate,http://www.astonvaughan.co.uk/,"7 St Georges Road, Brighton, BN2 1EB",01273 253000,info@astonvaughan.co.uk,15510783,ASTON VAUGHAN LIMITED overview - Find and update company information,
Knight & Knoxley,Independent firm with a strong emphasis on personalised service and transparent communication. Focuses on building long-term client relationships rather than volume transactions.,Real Estate,https://knightandknoxley.com,"2 Clyde Road, Preston Circus, Brighton, BN1 4NP",01273 286666,info@knightandknoxley.com,9678002,KNIGHT & KNOXLEY LIMITED overview - Find and update company information,
David & Co,Established local agent with deep knowledge of Brighton’s residential market. Known for straightforward valuations and consistent service delivery.,Real Estate,http://www.dean-property.co.uk/,"132A Preston Drove, Brighton, BN1 6FJ",01273 555333,sales@davidandco.biz,5202234,DAVID & CO ESTATE AGENTS LIMITED overview - Find and update company information,
Dean & Co,Family-run agency specialising in Hove and surrounding areas. Combines local expertise with a reputation for trust and reliability.,Real Estate,http://www.dean-property.co.uk/,"1 The Parade, Hangleton Road, Hove, BN3 7LU",01273 721061,sales@dean-property.co.uk,14795756,DEAN & CO ESTATES LIMITED overview - Find and update company information,
