Company Name,Company House Number,Company House URL
Aston Vaughan,15510783,https://find-and-update.company-information.service.gov.uk/company/15510783
Knight & Knoxley,09678002,https://find-and-update.company-information.service.gov.uk/company/09678002
David & Co,05202234,https://find-and-update.company-information.service.gov.uk/company/05202234
Dean & Co,14795756,https://find-and-update.company-information.service.gov.uk/company/14795756
Weatherill Property Group,11397540,https://find-and-update.company-information.service.gov.uk/company/11397540
Pearson Keehan,13189050,https://find-and-update.company-information.service.gov.uk/company/13189050
Hamlyn Smith,13163237,https://find-and-update.company-information.service.gov.uk/company/13163237
Smith & Co Sussex,16264838,https://find-and-update.company-information.service.gov.uk/company/16264838
Nicholas James Property,14770162,https://find-and-update.company-information.service.gov.uk/company/14770162
John Hoole,,
Phillips & Still,08757928,https://find-and-update.company-information.service.gov.uk/company/08757928
Justin Lloyd,,
Spencer & Leigh,04794913,https://find-and-update.company-information.service.gov.uk/company/04794913
Mishon Mackay,06446436,https://find-and-update.company-information.service.gov.uk/company/06446436
Brand Vaughan,05976765,https://find-and-update.company-information.service.gov.uk/company/05976765
Jack Smith,11674373,https://find-and-update.company-information.service.gov.uk/company/11674373
Sawyer & Co,04235622,https://find-and-update.company-information.service.gov.uk/company/04235622
Harringtons Lettings,10220170,https://find-and-update.company-information.service.gov.uk/company/10220170
Coapt,05115165,https://find-and-update.company-information.service.gov.uk/company/05115165
Eightfold Property,09998988,https://find-and-update.company-information.service.gov.uk/company/09998988
Simon Miller & Company,06992115,https://find-and-update.company-information.service.gov.uk/company/06992115
Miles & Barr,08232286,https://find-and-update.company-information.service.gov.uk/company/08232286
Kent Estate Agencies,03711539,https://find-and-update.company-information.service.gov.uk/company/03711539
Sandersons UK,07532433,https://find-and-update.company-information.service.gov.uk/company/07532433
Foundation Estate Agents,05553803,https://find-and-update.company-information.service.gov.uk/company/05553803
Freeman & Gray,08690425,https://find-and-update.company-information.service.gov.uk/company/08690425
Sibley Pares,06306194,https://find-and-update.company-information.service.gov.uk/company/06306194
Page & Wells,03520028,https://find-and-update.company-information.service.gov.uk/company/03520028
Seekers,15786138,https://find-and-update.company-information.service.gov.uk/company/15786138
Woodward & Bishopp,13986568,https://find-and-update.company-information.service.gov.uk/company/13986568
Caxtons,02845831,https://find-and-update.company-information.service.gov.uk/company/02845831
Quealy & Co,13969341,https://find-and-update.company-information.service.gov.uk/company/13969341
Cooke & Co,11378965,https://find-and-update.company-information.service.gov.uk/company/11378965
Regal Estates,12952182,https://find-and-update.company-information.service.gov.uk/company/12952182
Wards of Kent,13117726,https://find-and-update.company-information.service.gov.uk/company/13117726
Oakwood Homes,05859588,https://find-and-update.company-information.service.gov.uk/company/05859588
Invicta Estate Agents,06522726,https://find-and-update.company-information.service.gov.uk/company/06522726
Robinson Michael & Jackson,05139777,https://find-and-update.company-information.service.gov.uk/company/05139777
Hunters Tunbridge Wells,11184483,https://find-and-update.company-information.service.gov.uk/company/11184483
