Company Name,Company Description,Company Area,Company URL,Company Address,Company Telephone,Company Email,Company House Number,Company House URL
Aston Vaughan,"Aston Vaughan are a top property & letting agent in Brighton. Your trusted Sussex estate agents for buying, selling, and renting. Contact us today!",Brighton,https://www.astonvaughan.co.uk/,,01273 253000,accounts@astonvaughan.co.uk,,
Knight & Knoxley,"The Next Generation Of Estate Agents, Remarkable Homes To Buy Or Rent We Have The Knowledge & Knowhow. The UK’S Virtual Reality Property Experts.",Brighton,https://knightandknoxley.com,,01273 28 66 66,info@knightandknoxley.com,,
Kendrick Property Services,"Kendrick Property Services in Brighton, Hove and beyond. Providing property sales and lettings services. Contact us today for a free valuation.",Brighton,http://www.kendrickpropertyservices.co.uk/,,01273600162,sales@kendrickpropertyservices.co.uk,,
Martin & Co Brighton,"Martin & Co Brighton Estate & Letting Agents provide extensive property services to meet your needs. Contact us if you're looking to buy, sell, rent, or let a property.",Brighton,https://www.martinco.com/estate-agents-and-letting-agents/branch/brighton/,,01223 275150,,,
David & Co Estate Agents,"David & Co are a successful Independent Estate Agents at Fiveways, covering Brighton & Hove whilst specialising in the Fiveways, Preston Park, Surrenden, Varndean, Withdean, Hollingdean, Hollingbury, Patcham, Roundhill and Preston Circus areas.",Brighton,http://www.davidandco.biz/,,01273 555333,sales@davidandco.biz,,
Ian Hyder & Company,a moving experience...,Brighton,https://www.ianhyder.co.uk/,Tenants are also advised that in addition to the aforementioned immediately prior to lease commencement relevant fees as above become due and must be paid in addition to first month rental sum plus appropriate DPS deposit sum again as stated above.,01273 309309,,04349529,https://find-and-update.company-information.service.gov.uk/company/04349529
David Maslen Letting Agents,Estate and Lettings Agents in Brighton and Hove. We are a multi-departmental estate agent who put people before profit.,Brighton,https://www.maslen.co.uk/,,01273) 321000,lettings@maslen.co.uk,,
Cubitt & West,"Cubitt & West are your local estate and lettings agents with over 40 branches across Surrey, Sussex and Hampshire, we are here to help you move forwards.",Brighton,https://www.cubittandwest.co.uk/,,0800 093 2269,,,
Mansell McTaggart,Mansell McTaggart offers a huge choice of properties. Sell or buy a house or land from 23 offices in Sussex and Surrey.,Brighton,https://www.mansellmctaggart.co.uk/,,,,,
Weatherill Property Group,,Brighton,https://www.wpgsussex.co.uk/,,01273 322766,sales@wpgsussex.co.uk,,
Wards of Kent,"Wards of Kent is your local independent estate and lettings agency providing a friendly and memorable experience in Kent, here to help you move forwards.",Kent,https://www.wardsofkent.co.uk/,,0800 093 2294,,,
Simon Miller & Company,"Simon Miller & Company: Leading independent estate agency in Kent. Expert in sales, lettings, period homes, and new builds. Contact us for top-notch service.",Kent,https://simonmiller.co.uk/,,01732 875706,,,
Miles & Barr,"Discover your next home with Miles & Barr, trusted estate agents offering expert property sales, lettings and advice across Kent. Friendly service, local knowledge and support every step of the way.",Kent,https://www.milesandbarr.co.uk/,"1 Kings Parade, High Street, Ashford, Kent, TN24 8TA",01227743719,,,
Kent Estate Agencies,Page Not Found,Kent,https://www.kent-estate-agencies.co.uk/,,01227 367441,,,
jdm Estate Agents,jdm Estate Agents are one of the of the top 10% of estate agents in the country.,Kent,https://www.jdmestateagents.com/,,,headoffice@jdmestateagents.com,,
Hamptons,,Kent,https://www.hamptons.co.uk/,,,,,
Strutt & Parker,"Property Search Specialists Strutt and Parker, Estate Agent Services for Residential Property, Farming, and Estate Management.",Kent,https://www.struttandparker.com/,,,,,
Savills,"Savills Estate Agents have over 100 offices throughout the United Kingdom, and over 700 offices and associates throughout Europe, Asia Pacific, Africa and the Middle East. Our unrivalled network means we can offer property for sale that meets your requirements anywhere in the world. We sell everything from houses and flats to farms and estates for sale.",Kent,https://www.savills.co.uk/,,+44 (0) 20 7330 8488,,,
Jackson-Stops,,Kent,https://www.jackson-stops.co.uk/,,,,,
Bairstow Eves Canterbury,,Kent,https://www.bairstoweves.co.uk/,,,,,
